Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.2759,0.025585,-0.70821,0,0,0,50.5,444.9,0.4984,0.1211,1641.6,-0.22973,2074.8,0,0,0,0,0,0,package://system_gazebo/meshes/base_link.STL,0.3,0.3,0.3,1,0,0,0,0,0,0,package://system_gazebo/meshes/base_link.STL,,wall-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0,0,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link1.STL,1,0,0,1,0,0,0,0,0,0,package://system_gazebo/meshes/link1.STL,,ballon_red-1,Origin_joint1,Axis_joint1,joint1,fixed,2.6794,0.36723,-0.54975,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link2,0,1.3878E-17,-0.135,0,0,0,0.2,0.075131,2.0811E-34,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link2.STL,0,0,1,1,0,0,0,0,0,0,package://system_gazebo/meshes/link2.STL,,ballon_blue-1,Origin_joint2,Axis_joint2,joint2,fixed,2.2027,0.36723,0.056597,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link3,4.4409E-16,0,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link3.STL,1,0,0,1,0,0,0,0,0,0,package://system_gazebo/meshes/link3.STL,,ballon_red-2,Origin_join3,Axis_join3,join3,fixed,2.6528,0.36723,0.72795,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link4,0,2.7756E-17,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link4.STL,1,0,0,1,0,0,0,0,0,0,package://system_gazebo/meshes/link4.STL,,ballon_red-3,Origin_joint4,Axis_joint4,joint4,fixed,1.2714,0.36723,0.14447,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link5,2.2204E-16,0,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link5.STL,0,0,1,1,0,0,0,0,0,0,package://system_gazebo/meshes/link5.STL,,ballon_blue-2,Origin_joint5,Axis_joint5,joint5,fixed,1.1117,0.36723,0.7485,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link6,0,6.9389E-18,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link6.STL,0,0,1,1,0,0,0,0,0,0,package://system_gazebo/meshes/link6.STL,,ballon_blue-3,Origin_joint6,Axis_joint6,joint6,fixed,0.38074,0.36723,0.054885,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link7,0,0,-0.135,0,0,0,0.2,0.075131,0,0,0.075131,0,0.075131,0,0,0,0,0,0,package://system_gazebo/meshes/link7.STL,1,0,0,1,0,0,0,0,0,0,package://system_gazebo/meshes/link7.STL,,ballon_blue-4,Origin_joint7,Axis_joint7,joint7,fixed,-0.1266,0.36723,-0.54975,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link8,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://system_gazebo/meshes/link8.STL,0,0,1,1,0,0,0,0,0,0,package://system_gazebo/meshes/link8.STL,,ballon_red-4,Origin_joint8,Axis_joint8,joint8,fixed,-0.15321,0.36723,0.72795,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
